	Alchemy of Souls	South Korea	2022	Drama	 10	- / +20/20
2	Flower of Evil	South Korea	2020	Drama	 10	- / +16/16
3	It's Okay to Not Be Okay	South Korea	2020	Drama	 10	- / +16/16
4	Lovely Runner	South Korea	2024	Drama	 10	- / +16/16
5	Meet Yourself	China	2023	Drama	 10	- / +40/40
6	Move to Heaven	South Korea	2021	Drama	 10	- / +10/10
7	Nirvana in Fire	China	2015	Drama	 10	- / +54/54
8	Reply 1988	South Korea	2015	Drama	 10	- / +20/20
9	Twenty Five Twenty One	South Korea	2022	Drama	 10	- / +16/16
10	Twinkling Watermelon	South Korea	2023	Drama	 10	- / +16/16
11	A Journey to Love	China	2023	Drama	 9.5	- / +40/40
12	Drawing Closer	Japan	2024	Movie	 9.5	- / +1/1
13	Hometown Cha-Cha-Cha	South Korea	2021	Drama	 9.5	- / +16/16
14	Joy of Life	China	2019	Drama	 9.5	- / +46/46
15	Mr. Queen	South Korea	2020	Drama	 9.5	- / +20/20
16	Nirvana in Fire Season 2: The Wind Blows in Chang Lin	China	2017	Drama	 9.5	- / +50/50
17	Our Beloved Summer	South Korea	2021	Drama	 9.5	- / +16/16
18	Our Unwritten Seoul	South Korea	2025	Drama	 9.5	- / +12/12
19	Silent	Japan	2022	Drama	 9.5	- / +11/11
20	Still 17	South Korea	2018	Drama	 9.5	- / +32/32
21	The Red Sleeve	South Korea	2021	Drama	 9.5	- / +17/17
22	Twelve Letters	China	2025	Drama	 9.5	- / +12/12
23	When I Fly Towards You	China	2023	Drama	 9.5	- / +24/24
24	Couple on the Backtrack	South Korea	2017	Drama	 9.0	- / +12/12
25	Descendants of the Sun	South Korea	2016	Drama	 9.0	- / +16/16
26	Guardian: The Lonely and Great God	South Korea	2016	Drama	 9.0	- / +16/16
27	Hi Bye, Mama!	South Korea	2020	Drama	 9.0	- / +16/16
28	It's Okay, That's Love	South Korea	2014	Drama	 9.0	- / +16/16
29	Kingdom	South Korea	2019	Drama	 9.0	- / +6/6
30	Kingdom Season 2	South Korea	2020	Drama	 9.0	- / +6/6
31	Love Like the Galaxy: Part 1	China	2022	Drama	 9.0	- / +27/27
32	Love Like the Galaxy: Part 2	China	2022	Drama	 9.0	- / +29/29
33	Love Scout	South Korea	2025	Drama	 9.0	- / +12/12
34	Melo Movie	South Korea	2025	Drama	 9.0	- / +10/10
35	Mr. Sunshine	South Korea	2018	Drama	 9.0	- / +24/24
36	My Dearest	South Korea	2023	Drama	 9.0	- / +10/10
37	New Life Begins	China	2022	Drama	 9.0	- / +40/40
38	Parasite	South Korea	2019	Movie	 9.0	- / +1/1
39	Queen of Tears	South Korea	2024	Drama	 9.0	- / +16/16
40	Rain or Shine	South Korea	2017	Drama	 9.0	- / +16/16
41	The Bad Kids	China	2020	Drama	 9.0	- / +12/12
42	The Day of Becoming You	China	2021	Drama	 9.0	- / +26/26
43	The Tale of Lady Ok	South Korea	2024	Drama	 9.0	- / +16/16
44	Train to Busan	South Korea	2016	Movie	 9.0	- / +1/1
45	Vincenzo	South Korea	2021	Drama	 9.0	- / +20/20
46	Welcome to Samdal-ri	South Korea	2023	Drama	 9.0	- / +16/16
47	While You Were Sleeping	South Korea	2017	Drama	 9.0	- / +32/32
48	You Are My Hero	China	2021	Drama	 9.0	- / +40/40
49	A Dream of Splendor	China	2022	Drama	 8.5	- / +40/40
50	A Dream within a Dream	China	2025	Drama	 8.5	- / +40/40
51	A Romance of the Little Forest	China	2022	Drama	 8.5	- / +35/35
52	Amidst a Snowstorm of Love	China	2024	Drama	 8.5	- / +30/30
53	An Ancient Love Song	China	2023	Drama	 8.5	- / +14/14
54	Angel's Last Mission: Love	South Korea	2019	Drama	 8.5	- / +32/32
55	Because This Is My First Life	South Korea	2017	Drama	 8.5	- / +16/16
56	Begin Again	China	2020	Drama	 8.5	- / +35/35
57	Business Proposal	South Korea	2022	Drama	 8.5	- / +12/12
58	Crash Landing on You	South Korea	2019	Drama	 8.5	- / +16/16
59	Dali & Cocky Prince	South Korea	2021	Drama	 8.5	- / +16/16
60	Destined	China	2023	Drama	 8.5	- / +40/40
61	Douluo Continent	China	2021	Drama	 8.5	- / +40/40
62	Extraordinary You	South Korea	2019	Drama	 8.5	- / +32/32
63	Forever and Ever	China	2021	Drama	 8.5	- / +30/30
64	Forever Love	China	2020	Drama	 8.5	- / +28/28
65	From Five to Nine	Japan	2015	Drama	 8.5	- / +10/10
66	Hold My Hand at Twilight	Japan	2023	Drama	 8.5	- / +10/10
67	Last Summer	South Korea	2025	Drama	 8.5	- / +12/12
